possibleOriginalPartnumber;productcode;productname;productprice;addtocartbtn_replacement_text;productdescriptionshort;stockstatus;productweight;category;subCategory;url
AS3209-158, AS3209-158, AS3209-158, AS3209-158, AS3209158;AS3209158;AS3209158;12.790;;Proponent® AS3209-158 O-Ring, 4.737 in ID x 4-15/16 in OD, 0.103 in Thick, Fluorocarbon, Blac;146;0.5;Aircraft Parts, Seals (MIL Standard), Misc;ENGINES, Proponent® AS3209-158 O-Ring, 4.737 in ID x 4-15/16 in OD, 0.103 in Thick, Fluorocarbon, Black, , PACKING, PREFORMED O RING, PACKIN;https://shop.boeing.com/aviation-supply/p/AS3209-158=64
AS3578-903, AS3578-903, AS3578-903, AS3578-903, AS3578903;AS3578903;AS3578903;0.840;;ORING: NITRILE,;4;0.5;Aircraft Parts, O-Rings, PACKING, Misc;"ENGINES, ORING, Ring O, , PACKING, ORING: NITRILE;";https://shop.boeing.com/aviation-supply/p/AS3578-903=R4
AS3578-904, AS3578-904, AS3578-904, AS3578-904, AS3578904;AS3578904;AS3578904;0.570;;ORING: NITRILE,;149;0.5;Aircraft Parts, O-Rings, Seals (MIL Standard), Misc;ENGINES, ORING, Ring O, , PACKING, PREFORMED O-RING SEAL, ORING(MS9020-04);https://shop.boeing.com/aviation-supply/p/AS3578-904=64
AS4824N08, AS4824N08, AS4824N08, AS4824N08, AS4824N08, AS4824N08, AS4824N08;AS4824N08;AS4824N08;5.130;;GASKET: FITTING END,;286;0.5;Aircraft Parts, Misc, Gaskets, Gaskets - Grommets And Conical Seals, Seals (MIL Standard);"ENGINES, SEAL, GASKET, Conical Flared Tube Fitting Seal, , , CONICAL SEAL, GASKET: FITTING END;";https://shop.boeing.com/aviation-supply/p/AS4824N08=64
M250-10416, M250-10416, M25010416;M25010416;M25010416;3525.200;;Rolls-Royce® M250 Outer Turbine Shaft M250-1041;29;0.5;Aircraft Parts, Misc;"ENGINES, SHAFT, SHAFT: TURBINE;OUTER;";https://shop.boeing.com/aviation-supply/p/M250-10416=64
M250-10445, M250-10445, M25010445;M25010445;M25010445;18028.710;;Rolls-Royce® M250 Stage 4 Turboshaft Engine Turbine Wheel M250-1044;262;0.5;Aircraft Parts, Misc;"ENGINES, WHEEL, WHEEL: TURBINE;STG 4;";https://shop.boeing.com/aviation-supply/p/M250-10445=64
M250-10449, M250-10449, M25010449;M25010449;M25010449;5645.820;;Rolls-Royce® Spur Breather Gearshaft M250-1044;64;0.5;Aircraft Parts, Misc;"ENGINES, GEARSHAFT, GEARSHAFT: BREATHER;SPUR;";https://shop.boeing.com/aviation-supply/p/M250-10449=64
M250-10454, M250-10454, M25010454;M25010454;M25010454;9058.140;;Rolls-Royce® M250 Fuel Oil Control Pump Gearshaft M250-1045;7;0.5;Aircraft Parts, Misc;"ENGINES, GEARSHAFT, GEARSHAFT: PUMP;CONTROL;FUEL;O";https://shop.boeing.com/aviation-supply/p/M250-10454=64
M250-10472, M250-10472, M25010472;M25010472;M25010472;2060.130;;PLUG: MAGNETIC, QUICK DISCONNECT;10;0.5;Aircraft Parts, Misc;"ENGINES, PLUG, PLUG: MAGNETIC; QUICK DISCONNE";https://shop.boeing.com/aviation-supply/p/M250-10472=64
M250-10497, M250-10497, M25010497;M25010497;M25010497;4467.730;;TUBE: COMPRESSOR,DISCHARGE,;12;0.5;Aircraft Parts, Misc;"ENGINES, TUBE, TUBE: COMPRESSOR;DISCHARGE;";https://shop.boeing.com/aviation-supply/p/M250-10497=64
M250-10518, M250-10518, M25010518;M25010518;M25010518;27705.090;;Rolls-Royce® M250 Stage 1 Turboshaft Engine Turbine Nozzle M250-1051;0;0.5;Aircraft Parts, Misc;"ENGINES, NOZZLE, NOZZLE: TURBINE;STG1;";https://shop.boeing.com/aviation-supply/p/M250-10518=64
M250-10562, M250-10562, M25010562;M25010562;M25010562;17222.530;;Rolls-Royce® Torque Meter Helical Gearshaft M250-1056;9;0.5;Aircraft Parts, Misc;"ENGINES, GEARSHAFT, GEARSHAFT: HELICAL;TORQUEMETER";https://shop.boeing.com/aviation-supply/p/M250-10562=64
M250-10577, M250-10577, M25010577;M25010577;M25010577;18324.730;;Rolls-Royce® M250 Stage 2 C20/C20R Turbine Nozzle M250-1057;25;0.5;Aircraft Parts, Misc;"ENGINES, NOZZLE, NOZZLE: TURBINE;STG2;C20/C20R;";https://shop.boeing.com/aviation-supply/p/M250-10577=64
M250-10609, M250-10609, M25010609;M25010609;M25010609;370.500;;SHROUD: INNER AIR,;40;0.5;Aircraft Parts, Misc;"ENGINES, SHROUD, SHROUD: INNER AIR;";https://shop.boeing.com/aviation-supply/p/M250-10609=64
M250-10658, M250-10658, M25010658;M25010658;M25010658;22453.430;;Rolls-Royce® M250 Turbo Shaft Stage 2 Turbine Wheel M250-1065;173;0.5;Aircraft Parts, Misc;"ENGINES, WHEEL, WHEEL: TURBINE;STG2;";https://shop.boeing.com/aviation-supply/p/M250-10658=64
M250-10684, M250-10684, M25010684;M25010684;M25010684;1662.180;;ADAPTER: BULKHEAD, HARNESS OVERSPEED DISABLE;0;0.5;Aircraft Parts, Misc;"ENGINES, ADAPTER, ADAPTER: BULKHEAD; HARNESS OVE";https://shop.boeing.com/aviation-supply/p/M250-10684=64
M250-10748, M250-10748, M25010748;M25010748;M25010748;20012.980;;Rolls-Royce® M250 Turbo Shaft Stage 3 Turbine Wheel M250-1074;168;0.5;Aircraft Parts, Misc;"ENGINES, WHEEL, WHEEL: TURBINE;STG3;";https://shop.boeing.com/aviation-supply/p/M250-10748=64
M250-10767, M250-10767, M25010767;M25010767;M25010767;1907.990;;Rolls-Royce® M250 Gearbox Oil Power Delivery Tube M250-1076;0;0.5;Aircraft Parts, Misc;"ENGINES, TUBE, TUBE: DELIVERY;POWER;GEARBOX;O";https://shop.boeing.com/aviation-supply/p/M250-10767=64
M250-10769, M250-10769, M25010769;M25010769;M25010769;0;Please send RFQ to sales@145.aero for lead time;Rolls-Royce® M250 Stage 2 Outer Turbine Nozzle Casting M250-1076;0;0.5;Aircraft Parts, Misc;"ENGINES, CASTING, CASTING: NOZZLE;TURBINE;OUTER;";https://shop.boeing.com/aviation-supply/p/M250-10769=64
M250-10795, M250-10795, M25010795;M25010795;M25010795;938.190;;Rolls-Royce® Annular Thrust Bearing Ball W/O Integral Shaft M250-1079;66;0.5;Aircraft Parts, Misc;"ENGINES, BEARING, BEARING: BALL;THRUST;ANNULAR;";https://shop.boeing.com/aviation-supply/p/M250-10795=64
MS122903, MS122903, MS122903, MS122903, MS122903, MS122903;MS122903;MS122903;3.560;;CLAMP: LOOP,CRES, FINE THREAD;66;0.5;Aircraft Parts, Inserts, SUPPORT LOOP CLAMP,BARE 321 SS, CLAMP, Misc;ENGINES, CLAMP, Military Standard Clamp, , , CLAMP, CLAMP;https://shop.boeing.com/aviation-supply/p/MS122903=64
MS122914, MS122914, MS122914, MS122914, MS122914;MS122914;MS122914;6.290;;CLAMP: LOOP,CRES, FINE THREAD;47;0.5;Aircraft Parts, Clamps, SUPPORT LOOP CLAMP,BARE 321 SS, Misc;"ENGINES, CLAMP, Military Standard Loop Clamp, , , CLAMP: LOOP;CRES; FINE THREAD";https://shop.boeing.com/aviation-supply/p/MS122914=64
MS171492, MS171492, MS171492, MS171492, MS171492;MS171492;MS171492;9.830;;PIN: SPRING,CRES,;1;0.5;Aircraft Parts, Pins, PIN,SPRING,SLOT,PASSIVATED SS, Misc;"ENGINES, PIN, Military Standard Spring Pin, , , PIN: SPRING;CRES;";https://shop.boeing.com/aviation-supply/p/MS171492=R4
MS21095-3006, MS21095-3006, MS21095-3006;MS210953006;MS210953006;1.800;;BOLT: HEX HD,SELF-LKG,SS,;0;0.5;Undercarriage, Aircraft Parts;BOLT, BOLT, ;https://shop.boeing.com/aviation-supply/p/MS21095-3006=28
MS9015-08, MS9015-08, MS9015-08, MS901508;MS901508;MS901508;20.820;;PLUG: THREADED,AL,;35;0.5;Aircraft Parts, PLUG, Misc;"ENGINES, PLUG, PLUG, PLUG: THREADED;AL;";https://shop.boeing.com/aviation-supply/p/MS9015-08=64
MS9165-05, MS9165-05, MS9165-05, MS916505;MS916505;MS916505;7.170;;BRACKET: ANGLE,90DEG,ST,;253;0.5;Aircraft Parts, BRACKET, Misc;"ENGINES, BRACKET, BRACKET, BRACKET: ANGLE;90DEG;ST;";https://shop.boeing.com/aviation-supply/p/MS9165-05=64
MS9276-10, MS9276-10, MS9276-10, MS9276-10, MS927610;MS927610;MS927610;2.030;;MS9276-10 Key Washer, 1/4 in, 0.26 in ID x 0.45 in OD Dia, Stainless Steel;0;0.5;Aircraft Parts, Washers, WASHER, Misc;HARDWARE & STANDARD PARTS, WASHER, WASHER KEY LOCKING, Military Standard Key Washer, , WASHER, WASHER;https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=MS9276-10&op=part&po=null&page=1
MS9372-017, MS9372-017, MS9372-017, MS9372-017, MS9372017;MS9372017;MS9372017;30.570;;GASKET: METAL ORING,CRES,;86;0.5;Aircraft Parts, Gaskets - Grommets And Conical Seals, GASKET, Misc;ENGINES, GASKET, , GASKET, GASKET .562 TUBE SIZE .062;https://shop.boeing.com/aviation-supply/p/MS9372-017=64
MS9432-06, MS9432-06, MS9432-06, MS9432-06, MS9432-06, MS943206;MS943206;MS943206;6.720;;BOLT: TEE HD,CRES, CHAMFERED;1826;0.5;Aircraft Parts, Bolts, Hardware, MS Bolts, BOLT, Misc;"ENGINES, BOLT, Military Standard Tee Head Bolt, , , BOLT, BOLT: TEE HD;CRES; CHAMFERED";https://shop.boeing.com/aviation-supply/p/MS9432-06=64
MS9486-02, MS9486-02, MS9486-02, MS9486-02, MS9486-02, MS948602;MS948602;MS948602;1.380;;PIN: HEADLESS,STR,CRES,;65;0.5;Aircraft Parts, Pins, Hardware, PIN, Misc;"ENGINES, PIN, Military Standard Straight Headless Pin, , , PIN, PIN: HEADLESS;STR;CRES;";https://shop.boeing.com/aviation-supply/p/MS9486-02=64
MS9486-49, MS9486-49, MS9486-49, MS948649;MS948649;MS948649;1.650;;PIN: HEADLESS,STR,CRES,;298;0.5;Aircraft Parts, PIN, Misc;"ENGINES, PIN, PIN, PIN: HEADLESS;STR;CRES;";https://shop.boeing.com/aviation-supply/p/MS9486-49=64
RR30000372, RR30000372, RR30000372;RR30000372;RR30000372;2155.960;;Rolls-Royce® Coupling Assembly RR3000037;35;0.5;Aircraft Parts, Misc;"ENGINES, COUPLING, COUPLING: ASSEMBLY;";https://shop.boeing.com/aviation-supply/p/RR30000372=64
MS9245-44, MS9245-44, MS9245-44, MS9245-44, MS9245-44, MS924544;MS924544;MS924544;0.650;;Item #: MS9245-44 | Size: 3/32X5/8 | MS9245, Extended Prong Chisel Point Cotter Pins T321 Stainless DFAR;146;0.5;Hardware, Aircraft Parts, Pins, PIN, Misc;MS9245 Extended Prong Cotter Pins, T321 SS, PIN, Military Standard Cotter Pin, , , PIN, PIN;https://www.boeingdistribution.com/product/PIN/MS9245-44/MS9245-44
02T729-267;02T729267;02T729267;132.230;;RING:,;57;0.5;Aircraft Parts;RING;https://shop.boeing.com/aviation-supply/p/02T729-267=T5
23053996=R4;23053996R4;23053996R4;2.660;;GASKET: FILTER HOUSING,;0;0.166;Rolls-Royce;GASKET;https://shop.boeing.com/aviation-supply/p/23053996=R4
23056964P003;23056964P003;23056964P003;1107.000;;INSERT: DRAIN PLUG, OVERSIZED;0;0.5;Aircraft Parts;INSERT;https://shop.boeing.com/aviation-supply/p/23056964P003=T5
23057142=MEEXCH;23057142MEEXCH;23057142MEEXCH;20500.000;;CASE: COMPRESSOR,C20,;4;5.605;Rolls-Royce;CASE;https://shop.boeing.com/aviation-supply/p/23057142=MEEXCH
23091467=R4;23091467R4;23091467R4;234.770;;SEAL: SHAFT,PLAIN,.875IN, ENCASED;9;0.05;Rolls-Royce;SEAL;https://shop.boeing.com/aviation-supply/p/23091467=R4
416KIT;416KIT;416KIT;0;Please send RFQ to sales@145.aero for lead time;KIT: SAL,AVIALL,;0;0.81;Aircraft Parts;KIT;https://shop.boeing.com/aviation-supply/p/416KIT=64
6726656-193;6726656193;6726656193;24.400;;RING: RETAINING,INT ,ST,;39;0.5;Aircraft Parts;RING;https://shop.boeing.com/aviation-supply/p/6726656-193=T5
6726656-231;6726656231;6726656231;3.530;;RING: RETAINING,INT ,ST,;88;0.5;Aircraft Parts;RING;https://shop.boeing.com/aviation-supply/p/6726656-231=T5
6726656-262;6726656262;6726656262;5.270;;RING: RETAINING,INT ,ST,;89;0.5;Aircraft Parts;RING;https://shop.boeing.com/aviation-supply/p/6726656-262=T5
6726656-343;6726656343;6726656343;9.080;;RING: RETAINING,INT,;25;0.5;Aircraft Parts;RING;https://shop.boeing.com/aviation-supply/p/6726656-343=T5
AN121552, AN121552, AN121552;AN121552;AN121552;11.590;;NUT: HEX HD,ST,;0;0.5;Aircraft Parts, Misc, Nuts, NUT;NUT, NUT, Aeronautical Standard Nut, NUT;https://shop.boeing.com/aviation-supply/p/AN121552=T5
AN123301, AN123301;AN123301;AN123301;0.350;;RIVET: SOLID,UNIV HD, INC;0;0.5;Aircraft Parts, Rivets;RIVET, Aeronautical Standard Solid Rivet, ;https://shop.boeing.com/aviation-supply/p/AN123301=T5
AN505-10-7, AN505-10-7, AN50510-7;AN505107;AN505107;4.950;;SCREW: CSK,FLT HD,MACHINE,ST,;461;0.5;Aircraft Parts, Screws, Misc;SCREW, Aeronautical Standard Screw, , SCREW;https://www.boeingdistribution.com/product/SCREW/AN505-10-7/AN505-10-7
AS3578-908, AS3578-908, AS3578-908, AS3578908;AS3578908;AS3578908;1.260;;ORING: NITRILE,;1026;0.5;Aircraft Parts, O-Rings, PACKING, Misc;"ORING, Ring O, , PACKING, ORING: NITRILE;";https://shop.boeing.com/aviation-supply/p/AS3578-908=15
M250-10610, M25010610;M25010610;M25010610;755.970;;SHROUD: INNER AIR,;67;0.5;Aircraft Parts, Misc;"SHROUD, SHROUD: INNER AIR;";https://shop.boeing.com/aviation-supply/p/M250-10610=64
MS16628-4025;MS166284025;MS166284025;2.630;;RING: RETAINING,EXT,CRES, BOWED;108;0.5;Aircraft Parts, Rings;RING, Military Standard Ring;https://shop.boeing.com/aviation-supply/p/MS16628-4025=T5
MS172203, MS172203, MS172203, MS172203, MS172203;MS172203;MS172203;0;Please send RFQ to sales@145.aero for lead time;WASHER: RETAINING,ST,;0;0.5;Aircraft Parts, Misc, WASHER;WASHER, WASHER, , WASHER, WASHER;https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=MS172203&op=part&po=null&page=1
MS20427-3C5, MS20427-3C5, MS20427-3C5;MS204273C5;MS204273C5;59.330;;RIVET: SOLID,CSK HD,CU, 100DEG;0;1;Aircraft Parts, Rivets, Solid Rivets, RIVET, SOLID;RIVET, Military Standard Solid Rivet, , RIVET, SOLID;https://military-fasteners.com/rivets/solid+rivets/MS20427-3C5
MS20615-3M16, MS20615-3M16, MS206153M16;MS206153M16;MS206153M16;0.510;;RIVET: SOLID,UNIV HD,MON,1LB,;221;0.5;Aircraft Parts, Misc;RIVET, , RIVET:UNIV HD DIA 3/32 X 1;https://www.boeingdistribution.com/product/RIVET%2C-SOLID/MS20615-3M16/MS20615-3M16
MS21250-05025, MS21250-05025, MS21250-05025;MS2125005025;MS2125005025;1.350;;BOLT: 12PT,ST, UNDRILLED HD,FLANGED;0;0.5;Aircraft Parts, Hardware, BOLT;BOLT, , BOLT;https://shop.boeing.com/aviation-supply/p/MS21250-05025=28
MS21250-05042, MS21250-05042, MS21250-05042;MS2125005042;MS2125005042;4.400;;BOLT: 12PT,ST, UNDRILLED HD,FLANGED;0;0.5;Aircraft Parts, Hardware, BOLT;BOLT, , BOLT;https://shop.boeing.com/aviation-supply/p/MS21250-05042=28
MS21907W6, MS21907W6, MS21907W6, MS21907W6;MS21907W6;MS21907W6;0;Please send RFQ to sales@145.aero for lead time;ELBOW: 45DEG,FLARELESS,AL,;0;0.5;Aircraft Parts, Misc, 45 DEG ELBOW,ANOD/BROWN 7075AL;ELBOW, ELBOW, , ;https://shop.boeing.com/aviation-supply/p/MS21907W6=28
MS24398-8-6, MS24398-8-6;MS2439886;MS2439886;0;Please send RFQ to sales@145.aero for lead time;BUSHING:,;0;0.5;Aircraft Parts;BUSHING, ;https://www.boeingdistribution.com/product/ADAPTER%2C-STRAIGHT/MS24398-8-6/MS24398-8-6
MS24587-8, MS24587-8;MS245878;MS245878;106.000;;ADAPTER: TUBE,STR,ST,;161;0.5;Aircraft Parts, ADAPTER;ADAPTER,, ADAPTER;https://shop.boeing.com/aviation-supply/p/MS24587-8=M1
MS24668-6;MS246686;MS246686;0.090;;SCREW: SOCKET HD,CAP,ST, DRILLED;0;0.5;Aircraft Parts;SCREW;https://shop.boeing.com/aviation-supply/p/MS24668-6=28
MS9105-28, MS9105-28, MS910528;MS910528;MS910528;5.370;;PIN: STR,HEADLESS,ST,;0;0.5;Aircraft Parts, Misc;"PIN, , PIN: STR;HEADLESS;ST;";https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=MS9105-28&op=part&po=null&page=1
MS9105-53, MS9105-53, MS9105-53;MS910553;MS910553;1.420;;PIN: STR,HEADLESS,ST, .1250X.250 L;307;0.5;Aircraft Parts, Pins, Misc Hardware, PIN;PIN, Military Standard Straight Headless Pin, , PIN;https://shop.boeing.com/aviation-supply/p/MS9105-53=T5
MS9372-019=R4;MS9372019R4;MS9372019R4;19.180;;GASKET: METAL ORING,CRES,;461;0.01;Rolls-Royce;GASKET;https://shop.boeing.com/aviation-supply/p/MS9372-019=R4
MS9486-04, MS9486-04, MS948604;MS948604;MS948604;1.280;;PIN: HEADLESS,STR,CRES,;0;0.5;Aircraft Parts, Misc;PIN, , PIN;https://shop.boeing.com/aviation-supply/p/MS9486-04=T5
MS9552-116, MS9552-116, MS9552116;MS9552116;MS9552116;2.180;;PLATE: MENDING,CRES,;0;0.5;Aircraft Parts, BRACKET, FLAT, STEEL, Misc;PLATE, BRACKET, FLAT, STEEL, BRACKET;https://shop.boeing.com/aviation-supply/p/MS9552-116=T5
MS9593-610, MS9593-610, MS9593610;MS9593610;MS9593610;7.840;;BRACKET: 90DEG,CRES,;0;0.5;Aircraft Parts, BRACKET, Misc;"BRACKET, BRACKET, BRACKET: 90DEG;CRES;";https://shop.boeing.com/aviation-supply/p/MS9593-610=64
NAS1096-3-23, NAS1096-3-23;NAS1096323;NAS1096323;0.210;;SCREW: HEX HD,MACHINE,ST, PHILLIPS;50;0.5;Aircraft Parts, HEX HEAD SCREW,PHIL REC,CAD ST;SCREW, ;https://shop.boeing.com/aviation-supply/p/NAS1096-3-23=28
NAS1791C4-1, NAS1791C4-1, NAS1791C4-1, NAS1791C4-1, NAS1791C4-1, NAS1791C4-1, NAS1791C41;NAS1791C41;NAS1791C41;2.740;;NUTPLATE: SELF-LKG,;1;0.5;Aircraft Parts, Misc, Nuts, Hardware, Nutplates, LOCK NUT,PLATE,TWO LUG;"LOCKNUT, PLATE - TWO LUG,, NUT, NUT, SELF-LOCKING, Locking Nutplate Self, , , LOCK NUT,PLATE,TWO LUG, NUT, SELF LOCKING, PLATE, NUTPLATE: SELF-LKG;";https://catalog.monroeaerospace.com/item/all-categories/nutplates-1/nas1791c4-1
NAS77B3-008, NAS77B3-008, NAS77B3-008;NAS77B3008;NAS77B3008;5.320;;BUSHING: SLEEVE,CU,;49;0.5;Aircraft Parts, FLANGE BUSHING,PF,BARE BE/CU;BUSHING, , ;https://www.boeingdistribution.com/product/BUSHING/NAS77B3-008/NAS77B3-008
PS4-40051-01;PS44005101;PS44005101;0;Please send RFQ to sales@145.aero for lead time;HARNESS,;0;0.5;Aircraft Parts;HARNESS,;https://shop.boeing.com/aviation-supply/p/PS4-40051-01=EA
RR30000476=R4;RR30000476R4;RR30000476R4;210.720;;KIT: REPLACEMENT SEALS, RUBBER, OIL FILTER;79;0.052;Rolls-Royce;KIT;https://shop.boeing.com/aviation-supply/p/RR30000476=R4
SL4081C14, SL4081C14;SL4081C14;SL4081C14;323.170;;NUT,;17;0.5;Aircraft Parts;NUT,, ;https://www.boeingdistribution.com/product/NUT/SL4081C14/SL4081C14
;asd1234;asd1234;10.000;;Desc;0;1;;;
6782887-1032, 6782887-1032;67828871032;67828871032;94.220;;NUT,SELF-LOCKING,HEXAGON;0;0.5;Aircraft Parts;, NUT;https://shop.boeing.com/aviation-supply/p/6782887-1032=T5
6828827-428, 6828827-428;6828827428;6828827428;179.590;;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;14;0.5;Aircraft Parts;, NUT;https://shop.boeing.com/aviation-supply/p/6828827-428=T5
AN101917, AN101917, AN101917;AN101917;AN101917;3.100;;BOLT: HEX HD,ST, DRILLED SHANK;47;0.5;Aircraft Parts, BOLT, .190-32 X 1.062 LG;, BOLT, ;https://www.boeingdistribution.com/product/BOLT/AN101917/AN101917
AN102916, AN102916, AN102916, AN102916;AN102916;AN102916;103.110;;BOLT: HEX HD,ST, DRILLED;0;0.5;BOLT, Aircraft Parts, Hardware, BOLT, DRLD HEX HD, 1 HOLE, STL;BOLT, BOLT, , ;https://shop.boeing.com/aviation-supply/p/AN102916=T5
AN103824, AN103824, AN103824, AN103824;AN103824;AN103824;27.830;;BOLT: HEX HD,ST, DRILLED;5;0.5;BOLT, Aircraft Parts, Hardware, BOLT, .250-28 X 1.625 LG;BOLT, BOLT, , ;https://shop.boeing.com/aviation-supply/p/AN103824=T5
AN103838, AN103838, AN103838;AN103838;AN103838;7.680;;BOLT: HEX HD,ST, DRILLED;13;0.5;BOLT, Aircraft Parts, Hardware;BOLT, BOLT, ;https://shop.boeing.com/aviation-supply/p/AN103838=T5
AN122706, AN122706, AN122706, AN122706;AN122706;AN122706;3.440;;PIN;22;0.5;Aircraft Parts, Misc;", PIN: STR;HEADLESS;ST;, PIN, ENGINES";https://shop.boeing.com/aviation-supply/p/AN122706=R4
AN122707, AN122707, AN122707, AN122707;AN122707;AN122707;3.430;;PIN;21;0.5;Aircraft Parts, Misc;", PIN: STR;HEADLESS;ST;, PIN, ENGINES";https://shop.boeing.com/aviation-supply/p/AN122707=R4
AN150306, AN150306;AN150306;AN150306;0;Please send RFQ to sales@145.aero for lead time;PIN: LOCK,BR,;0;0.5;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/AN150306=8D
AN150521, AN150521, AN150521, AN150521, AN150521;AN150521;AN150521;15.660;;"STUD: STEPPED;ST;";6;0.5;Aircraft Parts, Misc, Hardware;", STUD: STEPPED;ST;, STUD, , ENGINES";https://shop.boeing.com/aviation-supply/p/AN150521=64
AN150832, AN150832, AN150832, AN150832, AN150832;AN150832;AN150832;70.970;;"STUD: STEPPED;ST;";24;0.5;Aircraft Parts, Misc, THREADED STEPPED STUD,CAD I ST;", STUD: STEPPED;ST;, STUD, , ENGINES";https://shop.boeing.com/aviation-supply/p/AN150832=64
AN150834, AN150834, AN150834, AN150834, AN150834;AN150834;AN150834;0;Please send RFQ to sales@145.aero for lead time;"STUD: STEPPED;ST;";0;0.5;Aircraft Parts, Misc, Hardware, THREADED STEPPED STUD,CAD I ST;", STUD: STEPPED;ST;, STUD, , ";https://www.boeingdistribution.com/product/STUD/AN150834/AN150834
AN150863, AN150863, AN150863, AN150863;AN150863;AN150863;18.710;;STUD;135;0.5;Aircraft Parts, Misc;", STUD: STEPPED;ST;, STUD, ENGINES";https://shop.boeing.com/aviation-supply/p/AN150863=64
AN151134, AN151134, AN151134, AN151134, AN151134;AN151134;AN151134;92.410;;"STUD: STR;THREADED;ST;";92;0.5;STUD, Misc, Aircraft Parts, Hardware;"STUD, STUD: STR;THREADED;ST;, STUD, , ENGINES";https://shop.boeing.com/aviation-supply/p/AN151134=64
AS3222, AS3222, AS3222;AS3222;AS3222;261.520;;COVER;19;0.5;Aircraft Parts;, COVER, ENGINES;https://shop.boeing.com/aviation-supply/p/AS3222=64
6748072131, 6748072-131, 6748072-131;6748072131;6748072131;4.570;;"RING: RETAINING;INT;";44;0.5;Misc, Aircraft Parts;"RING: RETAINING;INT;, RING, ENGINES";https://shop.boeing.com/aviation-supply/p/6748072-131=64
6748072283, 6748072-283, 6748072-283;6748072283;6748072283;23.610;;"RING: RETAINING;INT;ST;";85;0.5;Misc, Aircraft Parts;"RING: RETAINING;INT;ST;, RING, ENGINES";https://shop.boeing.com/aviation-supply/p/6748072-283=64
6800193220, 6800193-220;6800193220;6800193220;112.190;;"CAP: PROTECTION;PL; DUST & MOI";0;0.5;Misc, Aircraft Parts;"CAP: PROTECTION;PL; DUST & MOI, CAP";https://shop.boeing.com/aviation-supply/p/6800193-220=64
6800218326, 6800218-326, 6800218-326;6800218326;6800218326;3.340;;"PLUG: PROTECTIVE;";25;0.5;Misc, Aircraft Parts;"PLUG: PROTECTIVE;, PLUG, ENGINES";https://shop.boeing.com/aviation-supply/p/6800218-326=64
6800218327, 6800218-327;6800218327;6800218327;3.490;;"CAP: PROTECTION;PL; DUST";0;0.5;Misc, Aircraft Parts;"CAP: PROTECTION;PL; DUST & MOI, CAP";https://shop.boeing.com/aviation-supply/p/6800218-327=64
6886430E062E140, 6886430E062E140, 6886430E062E140;6886430E062E140;6886430E062E140;366.440;;"HOSE: PTFE;ASSEMBLY;";21;0.5;Misc, Aircraft Parts;"HOSE: PTFE;ASSEMBLY;, HOSE, ENGINES";https://shop.boeing.com/aviation-supply/p/6886430E062E140=64
7593331101, 7593331-101;7593331101;7593331101;3360.240;;"INDICATOR: LUBE;ASSEMBLY;";0;0.5;Misc, Aircraft Parts;"INDICATOR: LUBE;ASSEMBLY;, INDICATOR";https://shop.boeing.com/aviation-supply/p/7593331-101=64
AN104620, AN104620, AN104620, AN104620;AN104620;AN104620;40.590;;"BOLT: HEX HD;SS;";275;0.5;Misc, Aircraft Parts, Hardware;"BOLT: HEX HD;SS;, BOLT, , ENGINES";https://shop.boeing.com/aviation-supply/p/AN104620=64
F2785A, F2785A, F2785A;F2785A;F2785A;0.810;;"RECORD: ASSEMBLY;";165;0.5;Misc, Aircraft Parts;"RECORD: ASSEMBLY;, RECORD, ENGINES";https://shop.boeing.com/aviation-supply/p/F2785A=64
GT11778, GT11778, GT11778;GT11778;GT11778;0.810;;LOGCARD: SVC ACCESSORY RE;130;0.5;Misc, Aircraft Parts;"LOGCARD: SVC ACCESSORY RECORD;, LOGCARD, ENGINES";https://shop.boeing.com/aviation-supply/p/GT11778=64
GTP7177L, GTP7177L, GTP7177L;GTP7177L;GTP7177L;42.140;;"BINDER: ENGINE LONG;RR A2";12;0.5;Misc, Aircraft Parts;"BINDER: ENGINE LONG;RR A250;, BINDER, ENGINES";https://shop.boeing.com/aviation-supply/p/GTP7177L=64
M25010009, M250-10009, M250-10009;M25010009;M25010009;6764.720;;"GEARSHAFT: SPUR;FUEL PUMP";0;0.5;Misc, Aircraft Parts;"GEARSHAFT: SPUR;FUEL PUMP;, GEARSHAFT, ENGINES";https://shop.boeing.com/aviation-supply/p/M250-10009=64
M25010024, M250-10024, M250-10024;M25010024;M25010024;9728.060;;GEARSHAFT: STARTER GENERA;8;0.5;Misc, Aircraft Parts;"GEARSHAFT: STARTER GENERATOR;, GEARSHAFT, ENGINES";https://shop.boeing.com/aviation-supply/p/M250-10024=64
M25010025, M250-10025;M25010025;M25010025;14026.500;;"GEARSHAFT: SPUR;77T IDLER";0;0.5;Misc, Aircraft Parts;"GEARSHAFT: SPUR;77T IDLER;, GEARSHAFT";https://shop.boeing.com/aviation-supply/p/M250-10025=64
